study_section,LTPP_section_id,seed,step,DSR,running_SCR,reward,compliant,guard_rejected,construction_cost_USD_m2,maintenance_NPV_USD_m2,twenty_year_LCC_USD_m2,B1_margin_asphalt_fatigue,B3_margin_asphalt_permanent_deformation,B4_margin_subgrade_strain,AC1_upper_thickness_cm,AC2_middle_thickness_cm,AC3_lower_thickness_cm,base_thickness_cm,subbase_thickness_cm
Section 3,04_1034,0,0,0.561864947174327,0.0,,False,False,42.090694444444445,13.04,55.13,,,,4.0,6.0,8.0,30.0,25.0
Section 3,04_1034,0,1,0.8965247998169569,0.0,0.0195499249530007,False,False,36.13007328035275,40.14,76.27,0.8965247998169569,1.9690749153789495,2.0741158929407244,3.57462438941002,5.935045078396797,7.98720130417496,30.021623536944382,25.039769008755684
Section 3,04_1034,0,2,0.946829207677317,0.0,0.0531415810066885,False,False,36.68920013286587,40.14,76.83,0.946829207677317,1.8846606781202773,2.0732112332502526,3.2017607092857365,6.074976667761803,8.072907240130007,29.98376330733299,25.08836019411683
Section 3,04_1034,0,3,1.0,0.25,0.8066879087959169,True,False,38.1071924571477,33.34,71.45,1.1114590017746555,1.8073389847820769,2.162421010197959,2.8136537671089177,6.204784497618675,8.154045485891402,29.95028546079993,25.13970732688904
Section 3,04_1034,0,4,1.0,0.4,0.8459902223382874,True,False,39.36584360908137,33.34,72.71,1.2841330443756331,1.7481541220420274,2.250851433312639,2.382599472999573,6.31719072163105,8.228611038066447,29.923007722944018,25.195912081748244
Section 3,04_1034,0,5,1.0,0.5,0.8457410385761471,True,False,40.52085340720614,33.34,73.86,1.4665717601403925,1.700949349494583,2.339617767044832,2.0,6.417749479413032,8.299374886788428,29.900221016258,25.2573768235743
Section 3,04_1034,0,6,1.0,0.5714285714285714,0.8425605917479025,True,False,41.58926103531524,18.96,60.54,1.658108640424362,1.6627280160680205,2.4288655082660817,2.0,6.508294314146042,8.36705167684704,29.88131907209754,25.323773797601454
Section 3,04_1034,0,7,1.0,0.625,0.8375566609124512,True,False,42.57169054388174,18.96,61.53,1.8551908203513452,1.6308017970666635,2.5176039867178126,2.0,6.589066699147224,8.431488894857466,29.866188266314563,25.394507031887763
Section 3,04_1034,0,8,1.0,0.6666666666666666,0.8330273009304718,True,False,43.45241550385048,13.04,56.49,2.0494886199479603,1.599847504577206,2.603350588000974,2.0,6.658725820481777,8.491658837534487,29.855232928879555,25.468719277530905
Section 3,04_1034,0,9,1.0,0.7,0.8281474226316883,True,False,44.24118335764078,13.04,57.28,2.237735204282094,1.5739948435541948,2.68570950702736,2.0,6.718372408300638,8.547902257181706,29.84812131989747,25.546069663017985
Section 3,04_1034,0,10,1.0,0.7272727272727273,0.8233840809563306,True,False,44.95082708595916,13.04,57.99,2.418314321783274,1.5521081137732249,2.7647915698575014,2.0,6.769389189779758,8.600743369199337,29.84443165780976,25.62630685046315
Section 3,04_1034,0,11,1.0,0.75,0.7821849884137761,True,False,45.59243099215664,13.04,58.63,4.022542312401336,1.6350419692294136,2.9201360526432767,2.0,6.812968023121356,8.65063734445721,29.8437999067828,25.70921819284558
Section 3,04_1034,0,12,1.0,0.7692307692307693,0.8172987457241511,True,False,45.84419082397859,13.04,58.89,2.6364137223263926,1.5266763814644864,2.8812230841133304,2.0,6.815033010207115,8.683741063810887,29.85485159605741,25.79512491449713
Section 3,04_1034,0,13,1.0,0.7857142857142857,0.8126762691669138,True,False,46.43673861043559,13.04,59.48,2.804048875271705,1.5103003773801744,2.956959667495799,2.0,6.85277501773089,8.7316694194451,29.85772474715486,25.88309815153479
Section 3,04_1034,0,14,1.0,0.8,0.8084587144608032,True,False,46.955073597306274,13.04,60.0,2.953042146834662,1.496580147669834,3.027519502655632,2.0,6.88267886545509,8.776090987958016,29.863796089775864,25.97292583808302
Section 3,04_1034,0,15,1.0,0.8125,0.8043140572364993,True,False,47.43100854906773,13.04,60.47,3.0917116996974574,1.4844185932863585,3.0957051082076856,2.0,6.9079135870561,8.818605990149083,29.8720621932298,26.064851474016898
Section 3,04_1034,0,16,1.0,0.8235294117647058,0.8003967176739638,True,False,47.87127125397169,13.04,60.91,3.220585858874599,1.473519208440611,3.161892073197675,2.0,6.929190556518733,8.859505736269059,29.882302687503405,26.158781830221407
Section 3,04_1034,0,17,1.0,0.8333333333333334,0.7966994432808404,True,False,48.28073236706864,13.04,61.32,3.339930987349274,1.4636731780839087,3.22633123785009,2.0,6.947032476775347,8.898992669768633,29.894355954602368,26.254621047526587
Section 3,04_1034,0,18,1.0,0.8421052631578947,-1.5,True,True,48.28073236706864,13.04,61.32,3.339930987349274,1.4636731780839087,3.22633123785009,2.0,6.947032476775347,8.898992669768633,29.894355954602368,26.254621047526587
Section 3,04_1034,0,19,1.0,0.85,-1.5,True,True,48.28073236706864,13.04,61.32,3.339930987349274,1.4636731780839087,3.22633123785009,2.0,6.947032476775347,8.898992669768633,29.894355954602368,26.254621047526587
Section 3,04_1034,0,20,1.0,0.8571428571428571,-1.5,True,True,48.28073236706864,13.04,61.32,3.339930987349274,1.4636731780839087,3.22633123785009,2.0,6.947032476775347,8.898992669768633,29.894355954602368,26.254621047526587
