study_section,LTPP_section_id,seed,pavement_family,subgrade_modulus_MPa,total_asphalt_thickness_cm,MEPDG_total_rutting_mm,MEPDG_HMA_rutting_mm,MEPDG_base_rutting_mm,MEPDG_subgrade_rutting_mm,rutting_margin_to_19mm,MEPDG_rutting_pass,MEPDG_all_pass
Section 3,04_1034,0,flexible,91.2929362090608,22.6,11.843,11.682,0.121,0.04,1.604,True,True
Section 3,04_1034,1,flexible,91.2929362090608,22.6,11.843,11.682,0.121,0.04,1.604,True,True
Section 3,04_1034,2,flexible,91.2929362090608,22.6,11.843,11.682,0.121,0.04,1.604,True,True
Section 8,04_1065,0,semi_rigid,91.2929362090608,23.3,9.194,9.053,0.116,0.026,2.066,True,True
Section 8,04_1065,1,semi_rigid,91.2929362090608,23.3,9.194,9.053,0.116,0.026,2.066,True,True
Section 8,04_1065,2,semi_rigid,91.2929362090608,23.3,9.194,9.053,0.116,0.026,2.066,True,True
Section 10,06_2004,0,semi_rigid,112.4859392575928,23.4,9.029,8.9,0.106,0.023,2.104,True,True
Section 10,06_2004,1,semi_rigid,112.4859392575928,23.4,9.029,8.9,0.106,0.023,2.104,True,True
Section 10,06_2004,2,semi_rigid,112.4859392575928,23.4,9.029,8.9,0.106,0.023,2.104,True,True
Section 5,12_1060,0,flexible,286.3278453829635,21.8,13.581,13.404,0.133,0.044,1.399,True,True
Section 5,12_1060,1,flexible,286.3278453829635,21.8,13.581,13.404,0.133,0.044,1.399,True,True
Section 5,12_1060,2,flexible,286.3278453829635,21.8,13.581,13.404,0.133,0.044,1.399,True,True
Section 12,12_4097,0,semi_rigid,286.3278453829635,23.5,8.816,8.733,0.067,0.015,2.155,True,True
Section 12,12_4097,1,semi_rigid,286.3278453829635,23.5,8.816,8.733,0.067,0.015,2.155,True,True
Section 12,12_4097,2,semi_rigid,286.3278453829635,23.5,8.816,8.733,0.067,0.015,2.155,True,True
Section 1,16_1010,0,flexible,77.76805677068144,22.6,11.861,11.7,0.121,0.04,1.602,True,True
Section 1,16_1010,1,flexible,77.76805677068144,22.6,11.861,11.7,0.121,0.04,1.602,True,True
Section 1,16_1010,2,flexible,77.76805677068144,22.6,11.861,11.7,0.121,0.04,1.602,True,True
Section 2,27_1085,0,flexible,86.2905835400712,22.5,12.107,11.944,0.122,0.04,1.569,True,True
Section 2,27_1085,1,flexible,86.2905835400712,22.5,12.107,11.944,0.122,0.04,1.569,True,True
Section 2,27_1085,2,flexible,86.2905835400712,22.5,12.107,11.944,0.122,0.04,1.569,True,True
Section 11,27_2023,0,semi_rigid,131.2335958005249,23.5,8.92,8.799,0.099,0.022,2.13,True,True
Section 11,27_2023,1,semi_rigid,131.2335958005249,23.5,8.92,8.799,0.099,0.022,2.13,True,True
Section 11,27_2023,2,semi_rigid,131.2335958005249,23.5,8.92,8.799,0.099,0.022,2.13,True,True
Section 7,30_7076,0,semi_rigid,58.87114577967474,23.6,8.839,8.672,0.137,0.03,2.15,True,True
Section 7,30_7076,1,semi_rigid,58.87114577967474,23.6,8.839,8.672,0.137,0.03,2.15,True,True
Section 7,30_7076,2,semi_rigid,58.87114577967474,23.6,8.839,8.672,0.137,0.03,2.15,True,True
Section 6,48_0001,0,flexible,699.912510936133,19.6,19.082,18.866,0.163,0.053,0.996,False,False
Section 6,48_0001,1,flexible,699.912510936133,19.6,19.082,18.866,0.163,0.053,0.996,False,False
Section 6,48_0001,2,flexible,699.912510936133,19.6,19.082,18.866,0.163,0.053,0.996,False,False
Section 4,48_1076,0,flexible,114.5311381531854,22.6,11.845,11.684,0.121,0.04,1.604,True,True
Section 4,48_1076,1,flexible,114.5311381531854,22.6,11.845,11.684,0.121,0.04,1.604,True,True
Section 4,48_1076,2,flexible,114.5311381531854,22.6,11.845,11.684,0.121,0.04,1.604,True,True
Section 9,48_1109,0,semi_rigid,99.98750156230471,23.4,9.121,8.985,0.112,0.025,2.083,True,True
Section 9,48_1109,1,semi_rigid,99.98750156230471,23.4,9.121,8.985,0.112,0.025,2.083,True,True
Section 9,48_1109,2,semi_rigid,99.98750156230471,23.4,9.121,8.985,0.112,0.025,2.083,True,True
