study_section,LTPP_section_id,pavement_family,US_state,climate_zone,subgrade_modulus_MPa,AC1_upper_thickness_cm,AC2_middle_thickness_cm,AC3_lower_thickness_cm,base_thickness_cm,subbase_thickness_cm,total_asphalt_thickness_cm,total_pavement_thickness_cm,construction_cost_USD_m2,twenty_year_LCC_USD_m2,final_DSR,episode_SCR
Section 1,16_1010,flexible,ID,Dry-Freeze,77.76805677068144,2.0,6.7,8.6,29.8,25.6,17.3,72.69999999999999,34.388962836090215,47.43,1.0,1.0
Section 2,27_1085,flexible,MN,Wet-Freeze,86.2905835400712,2.0,6.8,8.6,29.8,25.6,17.4,72.80000000000001,31.9132407594698,44.95,1.0,1.0
Section 3,04_1034,flexible,AZ,Dry-NoFreeze,91.2929362090608,2.0,6.8,8.6,29.8,25.6,17.4,72.80000000000001,32.44330630882815,45.48,1.0,1.0
Section 4,48_1076,flexible,TX,Dry-NoFreeze,114.5311381531854,2.0,6.8,8.6,29.8,25.6,17.4,72.80000000000001,34.316152300354155,47.36,1.0,1.0
Section 5,12_1060,flexible,FL,Wet-NoFreeze,286.3278453829635,2.0,6.2,8.3,29.9,25.4,16.5,71.8,32.68710640870172,45.73,1.0,1.0
Section 6,48_0001,flexible,TX,Wet-NoFreeze,699.912510936133,2.0,5.7,8.0,30.1,25.2,15.7,71.0,32.71092033178224,45.75,1.0,1.0
Section 7,30_7076,semi_rigid,MT,Dry-Freeze,58.87114577967474,2.1,6.8,7.9,36.8,17.8,16.8,71.39999999999999,52.94299508852404,65.98,1.0,1.0
Section 8,04_1065,semi_rigid,AZ,Dry-NoFreeze,91.2929362090608,2.0,6.8,7.9,36.8,17.8,16.7,71.3,52.76335400670958,65.8,1.0,1.0
Section 9,48_1109,semi_rigid,TX,Wet-NoFreeze,99.98750156230471,2.0,6.9,7.9,36.8,17.8,16.8,71.39999999999999,52.9382051790498,65.98,1.0,1.0
Section 10,06_2004,semi_rigid,CA,Dry-NoFreeze,112.4859392575928,2.0,6.9,7.9,36.8,17.8,16.8,71.39999999999999,52.92342422980597,65.96,1.0,1.0
Section 11,27_2023,semi_rigid,MN,Wet-Freeze,131.2335958005249,2.0,6.9,7.9,36.8,17.8,16.8,71.39999999999999,52.78448401289264,65.83,1.0,1.0
Section 12,12_4097,semi_rigid,FL,Wet-NoFreeze,286.3278453829635,2.0,6.9,7.9,36.8,17.8,16.8,71.39999999999999,52.8947259193604,65.94,1.0,1.0
