section,month,T_air_C,T_pav_C,E_ac_equiv_MPa,eps_a_microstrain,Nf
16_1010,Jan,-6.840909090909091,-4.840909090909091,20807.9,28.86,3.3142e+08
16_1010,Feb,-4.279545454545455,-2.279545454545455,20079.4,29.64,3.1278e+08
16_1010,Mar,1.5363636363636362,3.536363636363636,18109.7,32.0,2.6534e+08
16_1010,Apr,6.7681818181818185,8.76818181818182,15988.7,35.07,2.1854e+08
16_1010,May,11.6,13.6,13806.9,38.99,1.7550e+08
16_1010,Jun,16.177272727272726,18.177272727272726,11641.3,44.0,1.3754e+08
16_1010,Jul,20.28181818181818,22.28181818181818,9712.8,49.85,1.0791e+08
16_1010,Aug,19.49318181818182,21.49318181818182,10078.1,48.61,1.1324e+08
16_1010,Sep,14.120454545454544,16.120454545454542,12619.0,41.57,1.5409e+08
16_1010,Oct,7.397727272727272,9.397727272727272,15714.6,35.51,2.1296e+08
16_1010,Nov,0.0386363636363636,2.0386363636363636,18658.3,31.3,2.7821e+08
16_1010,Dec,-5.938636363636364,-3.9386363636363644,20560.9,29.12,3.2501e+08

summary,life_fixed_yr,45.523,life_climate_yr,94.514,fixed_over_climate,0.482
