section,climate_zone,MAAT_C,E_sub_MPa,eps_a_min_ue,eps_a_max_ue,eps_swing,eps_a_fixed_ue,Nf_fixed,Nf_climate_eff,fixed_over_climate,verdict
27_2023,Wet-Freeze,6.62,131.2,15.93,32.94,2.068,34.08,265610000.0,678230000.0,0.392,conservative
16_1010,Dry-Freeze,6.7,77.8,19.06,34.1,1.789,37.56,224480000.0,552010000.0,0.407,conservative
27_1085,Wet-Freeze,6.7,86.3,18.42,35.75,1.941,37.68,226220000.0,516200000.0,0.438,conservative
30_7076,Dry-Freeze,7.48,58.9,17.99,32.84,1.825,35.06,234260000.0,613940000.0,0.382,conservative
04_1065,Dry-NoFreeze,11.15,91.3,19.23,33.83,1.759,34.91,248130000.0,559130000.0,0.444,conservative
48_1076,Dry-NoFreeze,15.78,114.5,21.77,42.93,1.972,36.88,240840000.0,338990000.0,0.71,conservative
06_2004,Dry-NoFreeze,18.03,112.5,23.48,37.96,1.617,34.42,258150000.0,367700000.0,0.702,conservative
12_4097,Wet-NoFreeze,19.25,286.3,20.99,40.13,1.912,33.0,299290000.0,351650000.0,0.851,conservative
48_1109,Wet-NoFreeze,19.75,100.0,22.2,44.27,1.994,34.7,252280000.0,274260000.0,0.92,conservative
48_0001,Wet-NoFreeze,20.58,699.9,28.82,59.57,2.067,43.71,196430000.0,195450000.0,1.005,optimistic
04_1034,Dry-NoFreeze,23.29,91.3,26.27,63.77,2.427,37.24,231610000.0,161060000.0,1.438,optimistic
12_1060,Wet-NoFreeze,24.59,286.3,32.92,48.36,1.469,37.84,250180000.0,201970000.0,1.239,optimistic
