section,type,E_sub,h1,h2,h3,h4,h5,AC_cm,cost_USD,LCC_USD,DSR,SCR
16_1010,flexible,78,2.0,6.7,8.6,29.8,25.6,17.3,37.9,56.9,1.0,0.905
27_1085,flexible,86,2.0,6.8,8.6,29.8,25.6,17.4,38.0,56.9,1.0,0.905
48_1076,flexible,115,2.0,6.8,8.6,29.8,25.6,17.4,38.1,57.1,1.0,0.905
04_1034,flexible,91,2.0,6.8,8.6,29.8,25.6,17.4,38.0,57.0,1.0,0.905
48_0001,flexible,700,2.0,5.7,8.0,30.1,25.2,15.7,35.1,54.0,1.0,1.0
12_1060,flexible,286,2.0,6.2,8.3,29.9,25.4,16.5,36.6,69.9,1.0,0.952
30_7076,semi_rigid,59,2.1,6.8,7.9,36.8,17.8,16.8,52.5,65.6,1.0,1.0
04_1065,semi_rigid,91,2.0,6.8,7.9,36.8,17.8,16.7,52.4,65.4,1.0,1.0
27_2023,semi_rigid,131,2.0,6.9,7.9,36.8,17.8,16.8,52.3,65.4,1.0,1.0
06_2004,semi_rigid,112,2.0,6.9,7.9,36.8,17.8,16.8,52.3,65.4,1.0,1.0
48_1109,semi_rigid,100,2.0,6.9,7.9,36.8,17.8,16.8,52.4,65.4,1.0,1.0
12_4097,semi_rigid,286,2.0,6.9,7.9,36.8,17.8,16.8,52.4,65.4,1.0,1.0
