section,pavement_type,E_sub_MPa,AC_cm,cost_CNY_m2,DSR,episode_SCR,B1_margin,B2_margin,B3_margin,B4_margin
16_1010,flexible,78,16.4,263,1.000,0.476,1.05,,1.23,2.03
27_1085,flexible,86,16.5,262,1.000,0.476,1.03,,1.23,2.10
48_1076,flexible,115,16.5,262,1.000,0.429,1.01,,1.25,2.40
04_1034,flexible,91,16.5,262,1.000,0.476,1.03,,1.23,2.15
48_0001,flexible,700,16.5,262,1.000,0.524,2.31,,1.44,3.49
12_1060,flexible,286,16.5,263,1.000,0.429,1.18,,1.25,3.79
30_7076,semi_rigid,59,16.8,378,1.000,1.000,18.78,3.97,1.63,2.94
04_1065,semi_rigid,91,16.7,377,1.000,1.000,19.51,4.60,1.65,3.48
27_2023,semi_rigid,131,16.8,377,1.000,1.000,19.47,5.15,1.67,4.19
06_2004,semi_rigid,112,16.8,377,1.000,1.000,19.58,4.93,1.66,3.85
48_1109,semi_rigid,100,16.8,377,1.000,1.000,19.58,4.75,1.65,3.64
12_4097,semi_rigid,286,16.8,377,1.000,1.000,16.43,5.46,1.65,6.19
