section_id,pavement_type,delivered_dsr,delivered_cost,delivered_step,episode_scr,n_states,variant,base_type,seed
16_1010,flexible,1.0,38.08528409237947,3,1.0,21,full,flexible,0
04_1034,flexible,1.0,37.9710869609627,3,1.0,21,full,flexible,0
27_1085,flexible,1.0,38.012692049276026,3,1.0,21,full,flexible,0
12_1060,flexible,1.0,38.336437321955536,2,1.0,21,full,flexible,0
48_1076,flexible,1.0,38.039320750344736,3,1.0,21,full,flexible,0
48_0001,flexible,1.0,37.85704454970777,2,1.0,21,full,flexible,0
16_1010,flexible,1.0,37.10499466312536,3,1.0,21,full,flexible,1
04_1034,flexible,1.0,37.142116043178376,3,1.0,21,full,flexible,1
27_1085,flexible,1.0,37.12842588083589,3,1.0,21,full,flexible,1
12_1060,flexible,1.0,37.44428106501854,3,1.0,21,full,flexible,1
48_1076,flexible,1.0,37.72555571334275,4,0.9523809523809523,21,full,flexible,1
48_0001,flexible,1.0,37.433203702217725,2,1.0,21,full,flexible,1
16_1010,flexible,1.0,37.68223662330076,10,1.0,21,full,flexible,2
04_1034,flexible,1.0,37.73839384720556,10,1.0,21,full,flexible,2
27_1085,flexible,1.0,37.71823671700267,10,1.0,21,full,flexible,2
12_1060,flexible,1.0,37.31623065834482,8,1.0,21,full,flexible,2
48_1076,flexible,1.0,37.77609354369273,9,1.0,21,full,flexible,2
48_0001,flexible,1.0,36.63344124429165,7,1.0,21,full,flexible,2
30_7076,semi_rigid,1.0,53.31540850983999,2,1.0,21,full,semi_rigid,0
04_1065,semi_rigid,1.0,53.39482914610954,2,1.0,21,full,semi_rigid,0
06_2004,semi_rigid,1.0,53.430063931854875,2,1.0,21,full,semi_rigid,0
27_2023,semi_rigid,1.0,53.452745607313936,2,1.0,21,full,semi_rigid,0
12_4097,semi_rigid,1.0,53.52573631978704,2,1.0,21,full,semi_rigid,0
48_1109,semi_rigid,1.0,53.410991047907025,2,1.0,21,full,semi_rigid,0
30_7076,semi_rigid,1.0,56.72664658216158,2,1.0,21,full,semi_rigid,1
04_1065,semi_rigid,1.0,56.74413460184868,2,1.0,21,full,semi_rigid,1
06_2004,semi_rigid,1.0,56.75472723827639,2,1.0,21,full,semi_rigid,1
27_2023,semi_rigid,1.0,56.76365453586173,2,1.0,21,full,semi_rigid,1
12_4097,semi_rigid,1.0,56.80010363425732,2,1.0,21,full,semi_rigid,1
48_1109,semi_rigid,1.0,56.74808028273542,2,1.0,21,full,semi_rigid,1
30_7076,semi_rigid,1.0,53.937516609257976,2,1.0,21,full,semi_rigid,2
04_1065,semi_rigid,1.0,54.01756711071275,2,1.0,21,full,semi_rigid,2
06_2004,semi_rigid,1.0,54.05042908495959,2,1.0,21,full,semi_rigid,2
27_2023,semi_rigid,1.0,54.069586685810435,2,1.0,21,full,semi_rigid,2
12_4097,semi_rigid,1.0,54.11133651521178,2,1.0,21,full,semi_rigid,2
48_1109,semi_rigid,1.0,54.03317990565816,2,1.0,21,full,semi_rigid,2
16_1010,flexible,1.0,38.66940977423722,3,0.6190476190476191,21,no-generator,flexible,0
04_1034,flexible,1.0,38.64728017933886,2,0.5714285714285714,21,no-generator,flexible,0
27_1085,flexible,1.0,38.683100331298455,2,0.5714285714285714,21,no-generator,flexible,0
12_1060,flexible,1.0,38.03072912486734,2,0.5238095238095238,21,no-generator,flexible,0
48_1076,flexible,1.0,38.488895863487244,2,0.5714285714285714,21,no-generator,flexible,0
48_0001,flexible,1.0,37.92558505669641,2,0.5714285714285714,21,no-generator,flexible,0
