section_id,pavement_type,delivered_dsr,delivered_cost,delivered_step,episode_scr,n_states,episode_guard_violations,episode_fea_failures,variant,base_type,seed
16_1010,flexible,1.0,38.099794380184605,3,1.0,21,0,0,no-language-no-guard,flexible,0
04_1034,flexible,1.0,37.97343643588347,3,1.0,21,0,0,no-language-no-guard,flexible,0
27_1085,flexible,1.0,38.0194792652234,3,1.0,21,0,0,no-language-no-guard,flexible,0
12_1060,flexible,1.0,37.99574235400985,3,1.0,21,0,0,no-language-no-guard,flexible,0
48_1076,flexible,1.0,37.75829469486119,3,1.0,21,0,0,no-language-no-guard,flexible,0
48_0001,flexible,1.0,37.44229664106067,2,1.0,21,0,0,no-language-no-guard,flexible,0
16_1010,flexible,1.0,38.534024629034384,6,1.0,21,0,0,no-language-no-guard,flexible,1
04_1034,flexible,1.0,38.46273908358745,6,1.0,21,0,0,no-language-no-guard,flexible,1
27_1085,flexible,1.0,38.4903905872385,6,1.0,21,0,0,no-language-no-guard,flexible,1
12_1060,flexible,1.0,38.0880562075294,5,1.0,21,0,0,no-language-no-guard,flexible,1
48_1076,flexible,1.0,38.42120932487683,6,1.0,21,0,0,no-language-no-guard,flexible,1
48_0001,flexible,1.0,37.14008676677042,4,1.0,21,0,0,no-language-no-guard,flexible,1
16_1010,flexible,1.0,36.23279997258194,5,1.0,21,0,0,no-language-no-guard,flexible,2
04_1034,flexible,1.0,36.26184127778883,5,1.0,21,0,0,no-language-no-guard,flexible,2
27_1085,flexible,1.0,36.25149648654341,5,1.0,21,0,0,no-language-no-guard,flexible,2
12_1060,flexible,1.0,36.07802354063117,4,1.0,21,0,0,no-language-no-guard,flexible,2
48_1076,flexible,1.0,36.301497410290985,5,1.0,21,0,0,no-language-no-guard,flexible,2
48_0001,flexible,1.0,35.591718341425484,3,1.0,21,0,0,no-language-no-guard,flexible,2
