section_id,pavement_type,backend,llm_model,n_steps,total_reward,mean_reward,final_dsr,final_scr,B1,B2,B3,B4,NPV_usd,h1_cm,h2_cm,h3_cm,h4_cm,h5_cm,mean_gen_confidence,mean_eval_score,wall_clock_sec,status
16_1010,flexible,gpt,gpt-4o-mini,20,15.8473,0.7924,1.0,0.9524,2.34,0,1.04,2.75,52.0,2.0,8.4,10.4,35.1,29.1,,nan,216.8,ok
16_1010,flexible,deepseek,deepseek-reasoner,20,7.9723,0.3986,1.0,0.9048,3.3,0,1.06,3.07,53.82,2.0,9.3,11.3,29.8,30.0,,nan,374.6,ok
16_1010,flexible,qwen,Qwen2.5-72B-Instruct,20,6.9708,0.3485,0.9067,0.381,1.07,0,1.16,2.02,66.79,2.0,7.0,8.6,29.5,26.3,,nan,180.5,ok
16_1010,flexible,llama,llama3:latest,20,9.5428,0.4771,1.0,1.0,1.63,0,1.22,2.48,55.33,2.0,5.3,12.5,29.3,31.7,,nan,218.4,ok
16_1010,flexible,ollama,qwen2.5:7b,20,4.2007,0.21,0.8766,0.1905,0.95,0,1.21,1.97,73.88,2.8,6.8,7.5,30.1,26.3,,nan,186.5,ok
16_1010,flexible,none,none,20,7.9723,0.3986,1.0,0.9048,3.3,0,1.06,3.07,53.82,2.0,9.3,11.3,29.8,30.0,,nan,180.9,ok
30_7076,semi_rigid,gpt,gpt-4o-mini,20,13.354,0.6677,1.0,1.0,68.32,4.46,1.6,4.53,71.78,2.8,12.1,7.1,45.2,16.8,,nan,196.2,ok
30_7076,semi_rigid,deepseek,deepseek-reasoner,20,11.0671,0.5534,1.0,1.0,63.87,4.65,1.59,4.41,72.43,2.0,14.6,6.8,44.2,16.3,,nan,235.7,ok
30_7076,semi_rigid,qwen,Qwen2.5-72B-Instruct,20,9.4741,0.4737,1.0,1.0,24.74,4.43,1.59,3.18,61.25,2.0,10.7,4.3,37.9,18.5,,nan,212.4,ok
30_7076,semi_rigid,llama,llama3:latest,20,13.3946,0.6697,1.0,1.0,43.8,4.58,1.5,3.86,66.24,2.0,9.1,9.7,37.5,22.2,,nan,285.4,ok
30_7076,semi_rigid,ollama,qwen2.5:7b,20,13.8045,0.6902,1.0,1.0,31.59,4.07,1.54,3.44,64.48,2.0,10.7,6.1,41.0,17.0,,nan,180.1,ok
30_7076,semi_rigid,none,none,20,11.0435,0.5522,1.0,1.0,65.51,4.7,1.6,4.47,72.98,2.0,14.9,6.7,44.5,16.3,,nan,80.0,ok
48_1076,flexible,gpt,gpt-4o-mini,20,14.88,0.744,1.0,0.9048,2.52,0,1.03,3.49,53.24,2.0,8.8,10.9,34.2,29.8,,nan,185.3,ok
48_1076,flexible,deepseek,deepseek-reasoner,20,5.5787,0.2789,1.0,0.9048,2.81,0,1.0,3.42,53.8,2.0,9.3,11.2,29.7,29.7,,nan,239.3,ok
48_1076,flexible,qwen,Qwen2.5-72B-Instruct,20,2.7445,0.1372,0.9427,0.1429,0.96,0,1.23,2.39,74.4,3.0,6.7,7.5,30.2,26.4,,nan,199.4,ok
48_1076,flexible,llama,llama3:latest,20,12.0802,0.604,1.0,0.7143,1.61,0,1.33,2.98,54.63,2.0,4.5,12.8,30.1,31.8,,nan,286.9,ok
48_1076,flexible,ollama,qwen2.5:7b,20,6.0706,0.3035,0.9483,0.3333,1.02,0,1.19,2.38,67.06,2.3,8.4,6.3,29.9,26.6,,nan,181.7,ok
48_1076,flexible,none,none,20,5.5787,0.2789,1.0,0.9048,2.81,0,1.0,3.42,53.8,2.0,9.3,11.2,29.7,29.7,,nan,89.7,ok
