section_id,state_name,climate_zone,gps_family,pavement_type,E_subgrade,KESAL,SN_req,h_ac_cm,h_base_cm,h_subbase_cm,DSR,SCR,B1,B2,B3,B4,NPV_usd,C_const_cny,wall_clock_sec,status
16_1010,Idaho,Dry-Freeze,GPS-1,flexible,77.76805677068144,123,2.1,10.0,15.0,10.0,0.8066,0.6667,1.07,0,1.69,0.97,53.13,142.5,36.9,ok
30_7076,Montana,Dry-Freeze,GPS-2,semi_rigid,58.87114577967474,94,2.23,10.0,15.0,10.0,1.0,1.0,2.29,18.54,2.48,1.0,38.81,185.5,33.7,ok
04_1034,Arizona,Dry-NoFreeze,GPS-1,flexible,91.29293620906081,57,1.72,10.0,15.0,10.0,0.8429,1.0,1.14,0,1.69,1.04,53.13,142.5,31.3,ok
04_1065,Arizona,Dry-NoFreeze,GPS-2,semi_rigid,91.29293620906081,583,2.55,10.0,15.0,10.0,1.0,1.0,2.67,27.05,2.48,1.18,38.81,185.5,37.1,ok
06_2004,California,Dry-NoFreeze,GPS-2,semi_rigid,112.4859392575928,120,1.8,10.0,15.0,10.0,1.0,1.0,2.87,32.35,2.48,1.29,38.81,185.5,35.4,ok
27_1085,Minnesota,Wet-Freeze,GPS-1,flexible,86.2905835400712,10,1.28,10.0,15.0,10.0,0.8298,1.0,1.12,0,1.69,1.02,53.13,142.5,30.4,ok
27_2023,Minnesota,Wet-Freeze,GPS-2,semi_rigid,131.2335958005249,574,2.21,10.0,15.0,10.0,1.0,1.0,3.03,36.83,2.48,1.38,38.81,185.5,28.0,ok
12_1060,Florida,Wet-NoFreeze,GPS-1,flexible,286.3278453829635,81,1.12,10.0,15.0,10.0,1.0,1.0,1.75,0,1.68,1.47,38.75,142.5,53.2,ok
12_4097,Florida,Wet-NoFreeze,GPS-2,semi_rigid,286.3278453829635,200,1.34,10.0,15.0,10.0,1.0,1.0,3.93,69.24,2.47,1.94,38.81,185.5,81.0,ok
48_1109,Texas,Wet-NoFreeze,GPS-2,semi_rigid,99.98750156230471,81,1.77,10.0,15.0,10.0,1.0,1.0,2.76,29.24,2.48,1.23,38.81,185.5,39.9,ok
48_1076,Texas,Dry-NoFreeze,GPS-1,flexible,114.5311381531854,164,1.89,10.0,15.0,10.0,0.898,1.0,1.25,0,1.69,1.15,53.13,142.5,41.1,ok
48_0001,Texas,Wet-NoFreeze,GPS-1,flexible,699.912510936133,133,0.79,10.0,15.0,10.0,1.0,1.0,2.24,0,1.67,1.42,32.83,142.5,44.1,ok
