section_id,state_name,climate_zone,gps_family,pavement_type,subgrade_bin,E_subgrade,is_baseline,ltp_n_layers,ltp_total_h_cm,mapped_total_h_cm,h1_cm,h2_cm,h3_cm,h4_cm,h5_cm,feasible,critical,B1,B2,B3,B4,DSR,SCR,compliant,C_const_cny,C_const_usd,NPV_usd,C_maint_NPV_usd,n_maint_events,wall_clock_sec,status,
16_1010,Idaho,Dry-Freeze,GPS-1,flexible,Medium,77.76805677068144,False,4,44.5,44.4,2.4,3.7,4.9,18.3,15.2,True,B4_subgrade_strain,2.45,0,1.51,1.37,1.0,1.0,True,158.3,21.99,35.03,13.04,5,53.1,ok,
30_7076,Montana,Dry-Freeze,GPS-2,semi_rigid,Medium,58.87114577967474,False,4,96.0,96.0,5.3,8.0,10.7,48.0,24.0,True,B3_ac_permanent_deformation,65.1,4.89,1.45,5.63,1.0,1.0,True,476.9,66.23,79.27,13.04,5,36.9,ok,
04_1034,Arizona,Dry-NoFreeze,GPS-1,flexible,Medium,91.29293620906081,False,3,33.0,33.0,1.8,2.7,3.6,13.6,11.3,False,B1_asphalt_fatigue,0.35,0,2.11,0.89,0.5788,0.3333,False,117.6,16.33,56.47,40.14,8,41.8,ok,
04_1065,Arizona,Dry-NoFreeze,GPS-2,semi_rigid,Medium,91.29293620906081,False,4,62.2,62.2,3.5,5.2,6.9,31.1,15.6,True,B3_ac_permanent_deformation,16.34,6.04,1.83,2.9,1.0,1.0,True,309.1,42.93,55.97,13.04,5,40.6,ok,
06_2004,California,Dry-NoFreeze,GPS-2,semi_rigid,Stiff,112.4859392575928,False,4,78.0,78.0,4.3,6.5,8.7,39.0,19.5,True,B3_ac_permanent_deformation,45.55,5.35,1.73,4.84,1.0,1.0,True,387.3,53.79,66.83,13.04,5,37.8,ok,
27_1085,Minnesota,Wet-Freeze,GPS-1,flexible,Medium,86.2905835400712,False,3,26.7,26.7,1.5,2.2,2.9,11.0,9.1,False,B1_asphalt_fatigue,0.11,0,2.79,0.6,0.3744,0.3333,False,95.0,13.19,53.33,40.14,8,37.3,ok,
27_2023,Minnesota,Wet-Freeze,GPS-2,semi_rigid,Stiff,131.2335958005249,False,3,40.6,40.6,2.3,3.4,4.5,20.3,10.2,True,B4_subgrade_strain,2.71,20.59,2.47,1.58,1.0,1.0,True,201.8,28.03,41.08,13.04,5,37.5,ok,
12_1060,Florida,Wet-NoFreeze,GPS-1,flexible,Stiff,286.3278453829635,False,3,39.4,39.4,2.2,3.2,4.3,16.2,13.5,True,B4_subgrade_strain,1.94,0,1.75,1.61,1.0,1.0,True,140.2,19.48,38.43,18.96,5,38.5,ok,
12_4097,Florida,Wet-NoFreeze,GPS-2,semi_rigid,Stiff,286.3278453829635,False,7,48.8,48.8,2.7,4.1,5.4,24.4,12.2,True,B3_ac_permanent_deformation,8.3,16.64,1.98,2.72,1.0,1.0,True,242.2,33.64,46.68,13.04,5,50.7,ok,
48_1109,Texas,Wet-NoFreeze,GPS-2,semi_rigid,Medium,99.98750156230471,False,3,33.0,33.0,1.8,2.8,3.7,16.5,8.3,False,B1_asphalt_fatigue,0.95,32.08,3.11,0.96,1.0,0.5,False,164.0,22.78,62.92,40.14,8,46.5,ok,
48_1076,Texas,Dry-NoFreeze,GPS-1,flexible,Stiff,114.5311381531854,True,3,40.6,40.6,2.2,3.3,4.5,16.7,13.9,True,B4_subgrade_strain,1.76,0,1.68,1.42,1.0,1.0,True,144.7,20.1,39.06,18.96,5,36.3,ok,
48_0001,Texas,Wet-NoFreeze,GPS-1,flexible,Stiff,699.912510936133,True,3,48.3,48.3,2.6,4.0,5.3,19.8,16.5,True,B3_ac_permanent_deformation,6.06,0,1.35,2.74,1.0,1.0,True,171.9,23.87,36.91,13.04,5,36.7,ok,
