section_id,seed,gps_family,pavement_type,JTG_SCR,JTG_DSR,eps_a_micro,eps_z_micro,eps_p_AC_micro,FC_percent,RD_total_mm,IRI_in_per_mi,N_f_alligator,pass_FC,pass_RD,pass_IRI,MEPDG_all_pass,MEPDG_SCR,MEPDG_DSR
16_1010,0,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
16_1010,1,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
16_1010,2,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
30_7076,0,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
30_7076,1,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
30_7076,2,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
04_1034,0,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
04_1034,1,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
04_1034,2,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
04_1065,0,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
04_1065,1,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
04_1065,2,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
06_2004,0,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
06_2004,1,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
06_2004,2,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
27_1085,0,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
27_1085,1,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
27_1085,2,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
27_2023,0,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
27_2023,1,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
27_2023,2,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
12_1060,0,GPS-1,flexible,,1.0,92.85714285714286,154.76190476190476,61.904761904761905,100.0,18.571,132.26,0.0,False,True,True,False,0.667,0.25
12_1060,1,GPS-1,flexible,,1.0,92.85714285714286,154.76190476190476,61.904761904761905,100.0,18.571,132.26,0.0,False,True,True,False,0.667,0.25
12_1060,2,GPS-1,flexible,,1.0,92.85714285714286,154.76190476190476,61.904761904761905,100.0,18.571,132.26,0.0,False,True,True,False,0.667,0.25
12_4097,0,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
12_4097,1,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
12_4097,2,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
48_1109,0,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
48_1109,1,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
48_1109,2,GPS-2,semi_rigid,,1.0,50.0,110.0,35.0,100.0,10.522,119.59,0.0,False,True,True,False,0.667,0.25
48_1076,0,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
48_1076,1,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
48_1076,2,GPS-1,flexible,,1.0,95.71428571428572,159.52380952380952,63.80952380952381,100.0,19.142,133.16,0.0,False,False,True,False,0.333,0.25
48_0001,0,GPS-1,flexible,,1.0,90.0,150.0,60.0,100.0,18.0,131.36,0.0,False,True,True,False,0.667,0.25
48_0001,1,GPS-1,flexible,,1.0,90.0,150.0,60.0,100.0,18.0,131.36,0.0,False,True,True,False,0.667,0.25
48_0001,2,GPS-1,flexible,,1.0,90.0,150.0,60.0,100.0,18.0,131.36,0.0,False,True,True,False,0.667,0.25
