section_id,seed,pavement_type,E_subgrade,eps_a_micro,eps_z_micro,eps_HMA_mid_micro,E_ac_MPa,h_ac_cm,FC_percent,RD_total_mm,RD_HMA_mm,RD_base_mm,RD_subgrade_mm,IRI_in_per_mi,N_f_fatigue,margin_FC,margin_RD,margin_subgrade,pass_FC,pass_RD,pass_IRI,MEPDG_all_pass
04_1034,0,flexible,91.2929362090608,36.77,60.03,59.8,10480.0,22.6,0.0274,11.843,11.682,0.121,0.04,81.68,1695535263.3167927,912.209,1.604,3.118,True,True,True,True
04_1034,1,flexible,91.2929362090608,36.77,60.03,59.8,10480.0,22.6,0.0274,11.843,11.682,0.121,0.04,81.68,1695535263.3167927,912.209,1.604,3.118,True,True,True,True
04_1034,2,flexible,91.2929362090608,36.77,60.03,59.8,10480.0,22.6,0.0274,11.843,11.682,0.121,0.04,81.68,1695535263.3167927,912.209,1.604,3.118,True,True,True,True
04_1065,0,semi_rigid,91.2929362090608,20.87,38.58,52.66,10230.0,23.3,0.0025,9.194,9.053,0.116,0.026,77.5,16372124011.248013,10138.944,2.066,4.852,True,True,True,True
04_1065,1,semi_rigid,91.2929362090608,20.87,38.58,52.66,10230.0,23.3,0.0025,9.194,9.053,0.116,0.026,77.5,16372124011.248013,10138.944,2.066,4.852,True,True,True,True
04_1065,2,semi_rigid,91.2929362090608,20.87,38.58,52.66,10230.0,23.3,0.0025,9.194,9.053,0.116,0.026,77.5,16372124011.248013,10138.944,2.066,4.852,True,True,True,True
06_2004,0,semi_rigid,112.4859392575928,20.7,35.2,52.58,10224.0,23.4,0.0024,9.029,8.9,0.106,0.023,77.24,16921704899.083124,10479.646,2.104,5.318,True,True,True,True
06_2004,1,semi_rigid,112.4859392575928,20.7,35.2,52.58,10224.0,23.4,0.0024,9.029,8.9,0.106,0.023,77.24,16921704899.083124,10479.646,2.104,5.318,True,True,True,True
06_2004,2,semi_rigid,112.4859392575928,20.7,35.2,52.58,10224.0,23.4,0.0024,9.029,8.9,0.106,0.023,77.24,16921704899.083124,10479.646,2.104,5.318,True,True,True,True
12_1060,0,flexible,286.3278453829635,37.12,66.31,60.0,10484.0,21.8,0.028,13.581,13.404,0.133,0.044,84.41,1632425714.0405796,892.289,1.399,2.823,True,True,True,True
12_1060,1,flexible,286.3278453829635,37.12,66.31,60.0,10484.0,21.8,0.028,13.581,13.404,0.133,0.044,84.41,1632425714.0405796,892.289,1.399,2.823,True,True,True,True
12_1060,2,flexible,286.3278453829635,37.12,66.31,60.0,10484.0,21.8,0.028,13.581,13.404,0.133,0.044,84.41,1632425714.0405796,892.289,1.399,2.823,True,True,True,True
12_4097,0,semi_rigid,286.3278453829635,20.11,22.27,52.59,10220.0,23.5,0.0021,8.816,8.733,0.067,0.015,76.9,18978961681.30908,11814.374,2.155,8.405,True,True,True,True
12_4097,1,semi_rigid,286.3278453829635,20.11,22.27,52.59,10220.0,23.5,0.0021,8.816,8.733,0.067,0.015,76.9,18978961681.30908,11814.374,2.155,8.405,True,True,True,True
12_4097,2,semi_rigid,286.3278453829635,20.11,22.27,52.59,10220.0,23.5,0.0021,8.816,8.733,0.067,0.015,76.9,18978961681.30908,11814.374,2.155,8.405,True,True,True,True
16_1010,0,flexible,77.76805677068144,37.6,59.83,59.79,10493.0,22.6,0.0302,11.861,11.7,0.121,0.04,81.71,1549882564.7545156,828.754,1.602,3.129,True,True,True,True
16_1010,1,flexible,77.76805677068144,37.6,59.83,59.79,10493.0,22.6,0.0302,11.861,11.7,0.121,0.04,81.71,1549882564.7545156,828.754,1.602,3.129,True,True,True,True
16_1010,2,flexible,77.76805677068144,37.6,59.83,59.79,10493.0,22.6,0.0302,11.861,11.7,0.121,0.04,81.71,1549882564.7545156,828.754,1.602,3.129,True,True,True,True
27_1085,0,flexible,86.2905835400712,37.33,60.55,59.82,10481.0,22.5,0.0291,12.107,11.944,0.122,0.04,82.09,1597008913.5344656,857.986,1.569,3.091,True,True,True,True
27_1085,1,flexible,86.2905835400712,37.33,60.55,59.82,10481.0,22.5,0.0291,12.107,11.944,0.122,0.04,82.09,1597008913.5344656,857.986,1.569,3.091,True,True,True,True
27_1085,2,flexible,86.2905835400712,37.33,60.55,59.82,10481.0,22.5,0.0291,12.107,11.944,0.122,0.04,82.09,1597008913.5344656,857.986,1.569,3.091,True,True,True,True
27_2023,0,semi_rigid,131.2335958005249,20.59,32.77,52.53,10221.0,23.5,0.0023,8.92,8.799,0.099,0.022,77.06,17289875313.27916,10707.63,2.13,5.712,True,True,True,True
27_2023,1,semi_rigid,131.2335958005249,20.59,32.77,52.53,10221.0,23.5,0.0023,8.92,8.799,0.099,0.022,77.06,17289875313.27916,10707.63,2.13,5.712,True,True,True,True
27_2023,2,semi_rigid,131.2335958005249,20.59,32.77,52.53,10221.0,23.5,0.0023,8.92,8.799,0.099,0.022,77.06,17289875313.27916,10707.63,2.13,5.712,True,True,True,True
30_7076,0,semi_rigid,58.87114577967474,20.91,45.27,52.4,10221.0,23.6,0.0025,8.839,8.672,0.137,0.03,76.94,16267595857.963024,10015.523,2.15,4.135,True,True,True,True
30_7076,1,semi_rigid,58.87114577967474,20.91,45.27,52.4,10221.0,23.6,0.0025,8.839,8.672,0.137,0.03,76.94,16267595857.963024,10015.523,2.15,4.135,True,True,True,True
30_7076,2,semi_rigid,58.87114577967474,20.91,45.27,52.4,10221.0,23.6,0.0025,8.839,8.672,0.137,0.03,76.94,16267595857.963024,10015.523,2.15,4.135,True,True,True,True
48_0001,0,flexible,699.912510936133,43.63,79.84,60.31,10491.0,19.6,0.0525,19.082,18.866,0.163,0.053,93.09,861578651.8761934,476.256,0.996,2.344,True,False,True,False
48_0001,1,flexible,699.912510936133,43.63,79.84,60.31,10491.0,19.6,0.0525,19.082,18.866,0.163,0.053,93.09,861578651.8761934,476.256,0.996,2.344,True,False,True,False
48_0001,2,flexible,699.912510936133,43.63,79.84,60.31,10491.0,19.6,0.0525,19.082,18.866,0.163,0.053,93.09,861578651.8761934,476.256,0.996,2.344,True,False,True,False
48_1076,0,flexible,114.5311381531854,36.46,60.01,59.81,10485.0,22.6,0.0265,11.845,11.684,0.121,0.04,81.68,1752073092.9184308,944.813,1.604,3.119,True,True,True,True
48_1076,1,flexible,114.5311381531854,36.46,60.01,59.81,10485.0,22.6,0.0265,11.845,11.684,0.121,0.04,81.68,1752073092.9184308,944.813,1.604,3.119,True,True,True,True
48_1076,2,flexible,114.5311381531854,36.46,60.01,59.81,10485.0,22.6,0.0265,11.845,11.684,0.121,0.04,81.68,1752073092.9184308,944.813,1.604,3.119,True,True,True,True
48_1109,0,semi_rigid,99.98750156230471,20.8,37.1,52.62,10227.0,23.4,0.0024,9.121,8.985,0.112,0.025,77.38,16597022178.89392,10277.627,2.083,5.045,True,True,True,True
48_1109,1,semi_rigid,99.98750156230471,20.8,37.1,52.62,10227.0,23.4,0.0024,9.121,8.985,0.112,0.025,77.38,16597022178.89392,10277.627,2.083,5.045,True,True,True,True
48_1109,2,semi_rigid,99.98750156230471,20.8,37.1,52.62,10227.0,23.4,0.0024,9.121,8.985,0.112,0.025,77.38,16597022178.89392,10277.627,2.083,5.045,True,True,True,True
