case_id,category,pavement_type,mode,seed,n_steps,total_reward,mean_reward,min_reward,final_dsr,final_scr,scr_trajectory,B1,B2,B3,B4,final_h1_cm,final_h2_cm,final_h3_cm,final_h4_cm,final_h5_cm,n_guard_violations,n_fea_escalations,escalation_rate,n_surrogate_calls,mean_gen_confidence,mean_evaluator_score,NPV_usd,C_const_cny,wall_clock_sec,status
sg_very_soft,subgrade,semi_rigid,surrogate_only,0,20,13.7314,0.6866,0.6305,1.0,1.0,1.0,49.312,3.673,1.603,3.593,2.0,14.9,6.7,44.5,16.3,0,0,0.0,0,,,73.05,432.1,115.8,ok
sg_very_soft,subgrade,semi_rigid,surrogate_only,1,20,13.7314,0.6866,0.6305,1.0,1.0,1.0,49.312,3.673,1.603,3.593,2.0,14.9,6.7,44.5,16.3,0,0,0.0,0,,,73.05,432.1,74.4,ok
sg_very_soft,subgrade,semi_rigid,surrogate_only,2,20,13.7314,0.6866,0.6305,1.0,1.0,1.0,49.312,3.673,1.603,3.593,2.0,14.9,6.7,44.5,16.3,0,0,0.0,0,,,73.05,432.1,66.6,ok
sg_very_stiff,subgrade,semi_rigid,surrogate_only,0,20,9.5223,0.4761,-1.5,1.0,1.0,1.0,8.77,9.138,1.326,7.396,2.0,14.7,7.0,44.4,16.2,0,0,0.0,0,,,72.97,431.5,72.9,ok
sg_very_stiff,subgrade,semi_rigid,surrogate_only,1,20,9.5223,0.4761,-1.5,1.0,1.0,1.0,8.77,9.138,1.326,7.396,2.0,14.7,7.0,44.4,16.2,0,0,0.0,0,,,72.97,431.5,65.7,ok
sg_very_stiff,subgrade,semi_rigid,surrogate_only,2,20,9.5223,0.4761,-1.5,1.0,1.0,1.0,8.77,9.138,1.326,7.396,2.0,14.7,7.0,44.4,16.2,0,0,0.0,0,,,72.97,431.5,85.2,ok
sg_ltpp_48_0001,subgrade,flexible,surrogate_only,0,20,-2.3772,-0.1189,-1.5,1.0,0.0952,0.05,1.426,0,0.813,5.149,2.0,10.4,11.9,29.4,30.4,0,0,0.0,0,,,76.59,311.4,144.9,ok
sg_ltpp_48_0001,subgrade,flexible,surrogate_only,1,20,-2.3772,-0.1189,-1.5,1.0,0.0952,0.05,1.426,0,0.813,5.149,2.0,10.4,11.9,29.4,30.4,0,0,0.0,0,,,76.59,311.4,86.2,ok
sg_ltpp_48_0001,subgrade,flexible,surrogate_only,2,20,-2.3772,-0.1189,-1.5,1.0,0.0952,0.05,1.426,0,0.813,5.149,2.0,10.4,11.9,29.4,30.4,0,0,0.0,0,,,76.59,311.4,64.3,ok
tr_super_heavy,traffic,semi_rigid,surrogate_only,0,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,71.2,ok
tr_super_heavy,traffic,semi_rigid,surrogate_only,1,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,66.2,ok
tr_super_heavy,traffic,semi_rigid,surrogate_only,2,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,82.5,ok
tr_ultra_light,traffic,flexible,surrogate_only,0,20,5.9481,0.2974,-1.5,1.0,0.619,0.6,2.725,0,0.985,2.873,2.0,9.5,11.3,29.8,30.0,0,0,0.0,0,,,54.15,296.0,82.1,ok
tr_ultra_light,traffic,flexible,surrogate_only,1,20,5.9481,0.2974,-1.5,1.0,0.619,0.6,2.725,0,0.985,2.873,2.0,9.5,11.3,29.8,30.0,0,0,0.0,0,,,54.15,296.0,80.4,ok
tr_ultra_light,traffic,flexible,surrogate_only,2,20,5.9481,0.2974,-1.5,1.0,0.619,0.6,2.725,0,0.985,2.873,2.0,9.5,11.3,29.8,30.0,0,0,0.0,0,,,54.15,296.0,77.0,ok
cl_extreme_hot,climate,semi_rigid,surrogate_only,0,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,66.4,ok
cl_extreme_hot,climate,semi_rigid,surrogate_only,1,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,77.7,ok
cl_extreme_hot,climate,semi_rigid,surrogate_only,2,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,70.7,ok
cl_extreme_cold,climate,semi_rigid,surrogate_only,0,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,76.2,ok
cl_extreme_cold,climate,semi_rigid,surrogate_only,1,20,8.5661,0.4283,-1.5,1.0,1.0,1.0,70.437,5.249,1.589,4.963,2.0,14.5,6.8,44.2,16.3,0,0,0.0,0,,,72.33,426.9,77.3,ok
