case_id,category,pavement_type,mode,seed,E_subgrade,n_steps,mean_reward,min_reward,final_dsr,final_scr,scr_trajectory,B1,B3,B4,n_guard_violations,n_fea_escalations,n_surrogate_calls,surrogate_fraction,escalation_rate,wall_clock_sec,status
sg_very_soft,subgrade,semi_rigid,surrogate_only,0,25.0,20,0.6866,0.6305,1.0,1.0,1.0,49.312,1.603,3.593,0,0,19,0.95,0.0,87.0,ok
sg_very_soft,subgrade,semi_rigid,surrogate_only,1,25.0,20,0.6866,0.6305,1.0,1.0,1.0,49.312,1.603,3.593,0,0,19,0.95,0.0,137.7,ok
sg_very_soft,subgrade,semi_rigid,surrogate_only,2,25.0,20,0.6866,0.6305,1.0,1.0,1.0,49.312,1.603,3.593,0,0,19,0.95,0.0,76.5,ok
sg_very_stiff,subgrade,semi_rigid,surrogate_only,0,600.0,20,0.4761,-1.5,1.0,1.0,1.0,8.77,1.326,7.396,0,0,18,0.947,0.0,80.8,ok
sg_very_stiff,subgrade,semi_rigid,surrogate_only,1,600.0,20,0.4761,-1.5,1.0,1.0,1.0,8.77,1.326,7.396,0,0,18,0.947,0.0,64.4,ok
sg_very_stiff,subgrade,semi_rigid,surrogate_only,2,600.0,20,0.4761,-1.5,1.0,1.0,1.0,8.77,1.326,7.396,0,0,18,0.947,0.0,168.0,ok
sg_ltpp_48_0001,subgrade,flexible,surrogate_only,0,700.0,20,-0.1189,-1.5,1.0,0.6667,0.05,1.426,0.813,5.149,0,0,16,0.941,0.0,92.0,ok
sg_ltpp_48_0001,subgrade,flexible,surrogate_only,1,700.0,20,-0.1189,-1.5,1.0,0.6667,0.05,1.426,0.813,5.149,0,0,16,0.941,0.0,78.2,ok
sg_ltpp_48_0001,subgrade,flexible,surrogate_only,2,700.0,20,-0.1189,-1.5,1.0,0.6667,0.05,1.426,0.813,5.149,0,0,16,0.941,0.0,93.8,ok
mat_soft_base,material,flexible,surrogate_only,0,80.0,20,-1.5,-1.5,1.0,1.0,1.0,1.349,1.108,2.325,0,0,0,0.0,0.0,42.3,ok
mat_soft_base,material,flexible,surrogate_only,1,80.0,20,-1.5,-1.5,1.0,1.0,1.0,1.349,1.108,2.325,0,0,0,0.0,0.0,42.1,ok
mat_soft_base,material,flexible,surrogate_only,2,80.0,20,-1.5,-1.5,1.0,1.0,1.0,1.349,1.108,2.325,0,0,0,0.0,0.0,35.7,ok
