case_id,category,pavement_type,mode,seed,E_subgrade,MAAT_C,annual_ESAL_BZZ100,total_ESAL_BZZ100,n_steps,mean_reward,min_reward,final_dsr,final_scr,scr_trajectory,B1,B3,B4,n_guard_violations,n_fea_escalations,n_surrogate_calls,surrogate_fraction,escalation_rate,wall_clock_sec,status
sg_very_soft,subgrade,semi_rigid,escalation_enabled,0,25.0,,,,20,0.6732,0.6163,1.0,1.0,1.0,52.536,2.406,3.643,0,0,19,0.95,0.0,6.5,ok
sg_very_soft,subgrade,semi_rigid,escalation_enabled,1,25.0,,,,20,0.6732,0.6163,1.0,1.0,1.0,52.536,2.406,3.643,0,0,19,0.95,0.0,1.6,ok
sg_very_soft,subgrade,semi_rigid,escalation_enabled,2,25.0,,,,20,0.6732,0.6163,1.0,1.0,1.0,52.536,2.406,3.643,0,0,19,0.95,0.0,1.7,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,0,600.0,,,,20,0.4716,-1.5,1.0,1.0,1.0,9.525,1.985,7.508,1,0,18,0.947,0.0,1.7,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,1,600.0,,,,20,0.4716,-1.5,1.0,1.0,1.0,9.525,1.985,7.508,1,0,18,0.947,0.0,1.6,ok
sg_very_stiff,subgrade,semi_rigid,escalation_enabled,2,600.0,,,,20,0.4716,-1.5,1.0,1.0,1.0,9.525,1.985,7.508,1,0,18,0.947,0.0,1.6,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,0,700.0,,,,20,0.8082,0.7835,1.0,1.0,1.0,1.661,1.182,6.002,0,0,19,0.95,0.0,1.6,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,1,700.0,,,,20,0.8082,0.7835,1.0,1.0,1.0,1.661,1.182,6.002,0,0,19,0.95,0.0,1.7,ok
sg_ltpp_48_0001,subgrade,flexible,escalation_enabled,2,700.0,,,,20,0.8082,0.7835,1.0,1.0,1.0,1.661,1.182,6.002,0,0,19,0.95,0.0,1.7,ok
mat_soft_base,material,flexible,escalation_enabled,0,80.0,,,,20,-1.5,-1.5,0.0,0.0,0.0,nan,nan,nan,20,0,0,0.0,0.0,0.8,ok
mat_soft_base,material,flexible,escalation_enabled,1,80.0,,,,20,-1.5,-1.5,0.0,0.0,0.0,nan,nan,nan,20,0,0,0.0,0.0,0.8,ok
mat_soft_base,material,flexible,escalation_enabled,2,80.0,,,,20,-1.5,-1.5,0.0,0.0,0.0,nan,nan,nan,20,0,0,0.0,0.0,0.8,ok
tr_super_heavy,traffic,semi_rigid,escalation_enabled,0,80.0,,10000000.0,,20,0.7346,0.7046,1.0,1.0,1.0,15.247,1.234,3.436,0,0,19,0.95,0.0,1.7,ok
tr_super_heavy,traffic,semi_rigid,escalation_enabled,1,80.0,,10000000.0,,20,0.7346,0.7046,1.0,1.0,1.0,15.247,1.234,3.436,0,0,19,0.95,0.0,1.6,ok
tr_super_heavy,traffic,semi_rigid,escalation_enabled,2,80.0,,10000000.0,,20,0.7346,0.7046,1.0,1.0,1.0,15.247,1.234,3.436,0,0,19,0.95,0.0,1.6,ok
tr_ultra_light,traffic,flexible,escalation_enabled,0,80.0,,100000.0,,20,-0.6768,-1.5,1.0,1.0,1.0,17.997,10.139,3.807,12,0,8,1.0,0.0,0.8,ok
tr_ultra_light,traffic,flexible,escalation_enabled,1,80.0,,100000.0,,20,-0.6768,-1.5,1.0,1.0,1.0,17.997,10.139,3.807,12,0,8,1.0,0.0,0.8,ok
tr_ultra_light,traffic,flexible,escalation_enabled,2,80.0,,100000.0,,20,-0.6768,-1.5,1.0,1.0,1.0,17.997,10.139,3.807,12,0,8,1.0,0.0,0.9,ok
cl_extreme_hot,climate,semi_rigid,escalation_enabled,0,80.0,28.0,,,20,-0.2592,-0.2686,0.0,0.0,0.0,nan,nan,nan,0,19,0,0.0,0.95,17.3,ok
cl_extreme_hot,climate,semi_rigid,escalation_enabled,1,80.0,28.0,,,20,-0.2592,-0.2686,0.0,0.0,0.0,nan,nan,nan,0,19,0,0.0,0.95,16.8,ok
cl_extreme_hot,climate,semi_rigid,escalation_enabled,2,80.0,28.0,,,20,-0.2592,-0.2686,0.0,0.0,0.0,nan,nan,nan,0,19,0,0.0,0.95,16.7,ok
cl_extreme_cold,climate,semi_rigid,escalation_enabled,0,80.0,-5.0,,,20,0.2252,-1.5,1.0,1.0,1.0,132.807,19.498,5.42,3,0,16,0.941,0.0,1.6,ok
cl_extreme_cold,climate,semi_rigid,escalation_enabled,1,80.0,-5.0,,,20,0.2252,-1.5,1.0,1.0,1.0,132.807,19.498,5.42,3,0,16,0.941,0.0,1.6,ok
cl_extreme_cold,climate,semi_rigid,escalation_enabled,2,80.0,-5.0,,,20,0.2252,-1.5,1.0,1.0,1.0,132.807,19.498,5.42,3,0,16,0.941,0.0,1.6,ok
