section_id,n_total_rows,n_after_drop_filter,n_filtered_out,n_drops_used,d_r_median_um,d_r_mean_um,d_r_p25_um,d_r_p75_um,E_R_MPa,status,E_subgrade_MPa,subgrade_bin
04_1034,4048,1012,3036,1012,69.0,70.65118577075098,58.0,82.0,91.29293620906081,ok,91.29293620906081,Medium
04_1065,6000,1500,4500,1500,69.0,71.578,55.0,86.0,91.29293620906081,ok,91.29293620906081,Medium
06_2004,704,176,528,176,56.0,55.47727272727273,51.0,59.0,112.48593925759279,ok,112.48593925759279,Stiff
12_1060,2032,508,1524,508,22.0,21.89566929133858,20.0,23.0,286.3278453829635,ok,286.3278453829635,Stiff
12_4097,2704,676,2028,676,22.0,24.357988165680474,20.0,28.0,286.3278453829635,ok,286.3278453829635,Stiff
16_1010,35336,8834,26502,8834,81.0,79.11614217794883,71.0,93.0,77.76805677068144,ok,77.76805677068144,Medium
27_1085,1296,324,972,324,73.0,73.69444444444444,70.0,76.0,86.2905835400712,ok,86.2905835400712,Medium
27_2023,2656,664,1992,664,48.0,51.971385542168676,37.0,63.0,131.23359580052494,ok,131.23359580052494,Stiff
30_7076,7072,1768,5304,1768,107.0,100.2024886877828,78.0,115.0,58.87114577967474,ok,58.87114577967474,Medium
48_0001,4016,1004,3012,1004,9.0,9.5,6.0,12.0,699.912510936133,ok,699.912510936133,Stiff
48_1076,4704,1176,3528,1176,55.0,53.03656462585034,43.0,62.0,114.53113815318538,ok,114.53113815318538,Stiff
48_1109,3391,848,2543,848,63.0,65.58490566037736,44.0,83.0,99.98750156230471,ok,99.98750156230471,Medium
