section,type,E_sub,h1,h2,h3,h4,h5,AC_cm,cost_USD,LCC_USD,DSR,SCR,section_id,state_name,climate_zone,gps_family,subgrade_bin,E_subgrade,is_baseline,pavement_type,traffic_source,annual_ESAL_BZZ100,total_ESAL_BZZ100,traffic_growth_rate,seed,n_steps,total_reward,mean_reward,final_dsr,final_scr_running,n_compliant,compliance_rate_in_episode,final_lcc_npv_usd_m2,final_C_const_usd_m2,final_C_const_cny_m2,final_n_maint_events,delivered_dsr,delivered_step,delivered_C_const_cny_m2,delivered_C_const_usd_m2,delivered_lcc_npv_usd_m2,delivered_margins,llm_enabled,alpha_initial,alpha_fallback,wall_clock_sec,status,_sort,study_id,climate,state_code,state,lon,lat,total_thickness_cm
16_1010,flexible,77.76805677068144,2.0,6.7,8.6,29.8,25.6,17.3,34.388962836090215,47.43,1.0,1.0,16_1010,Idaho,Dry-Freeze,GPS-1,Medium,77.76805677068144,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,123000.0,,0.02,0,20,-15.59849141730524,-0.779924570865262,1.0,1.0,21,1.0,47.66,34.62322119083808,249.28719257403415,,1.0,1,247.6005324198496,34.388962836090215,47.43,"{""B1_asphalt_fatigue"": 14.682074477001933, ""B3_ac_permanent_deformation"": 8.279762649097465, ""B4_subgrade_strain"": 3.466278059025091}",False,0.0,0.0,19.223377227783203,ok,0,Section 1,Dry-Freeze,16,ID,-114.5,44.1,72.69999999999999
27_1085,flexible,86.2905835400712,2.0,6.8,8.6,29.8,25.6,17.4,31.9132407594698,44.95,1.0,1.0,27_1085,Minnesota,Wet-Freeze,GPS-1,Medium,86.2905835400712,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,10000.0,,0.02,0,20,-17.964475519588497,-0.8982237759794248,1.0,1.0,21,1.0,44.95,31.9132407594698,229.77533346818257,,1.0,6,229.77533346818257,31.9132407594698,44.95,"{""B1_asphalt_fatigue"": 119.13495154456683, ""B3_ac_permanent_deformation"": 31.475975298082776, ""B4_subgrade_strain"": 5.764570272046149}",False,0.0,0.0,17.205153465270996,ok,0,Section 2,Wet-Freeze,27,MN,-95.0,46.050000000000004,72.80000000000001
04_1034,flexible,91.2929362090608,2.0,6.8,8.6,29.8,25.6,17.4,32.44330630882815,45.48,1.0,1.0,04_1034,Arizona,Dry-NoFreeze,GPS-1,Medium,91.2929362090608,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,57000.0,,0.02,0,20,-17.400802301977027,-0.8700401150988514,1.0,1.0,21,1.0,45.48,32.44330630882815,233.59180542356268,,1.0,6,233.59180542356268,32.44330630882815,45.48,"{""B1_asphalt_fatigue"": 15.348803534612921, ""B3_ac_permanent_deformation"": 4.346894275151296, ""B4_subgrade_strain"": 3.798169384818747}",False,0.0,0.0,16.836673736572266,ok,0,Section 3,Dry-NoFreeze,04,AZ,-112.05,34.5,72.80000000000001
48_1076,flexible,114.5311381531854,2.0,6.8,8.6,29.8,25.6,17.4,34.316152300354155,47.36,1.0,1.0,48_1076,Texas,Dry-NoFreeze,GPS-1,Stiff,114.5311381531854,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,164000.0,,0.02,0,20,-13.10136953270479,-0.6550684766352395,1.0,1.0,21,1.0,48.08,35.0408987159885,252.2944707551172,,1.0,1,247.07629656254997,34.316152300354155,47.36,"{""B1_asphalt_fatigue"": 8.502728831842775, ""B3_ac_permanent_deformation"": 3.7545973542924034, ""B4_subgrade_strain"": 3.6467109870220145}",False,0.0,0.0,16.52971339225769,ok,0,Section 4,Dry-NoFreeze,48,TX,-99.2,31.520000000000003,72.80000000000001
12_1060,flexible,286.3278453829635,2.0,6.2,8.3,29.9,25.4,16.5,32.68710640870172,45.73,1.0,1.0,12_1060,Florida,Wet-NoFreeze,GPS-1,Stiff,286.3278453829635,False,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,0,20,-17.625652554809918,-0.8812826277404959,1.0,1.0,21,1.0,45.73,32.68710640870172,235.3471661426524,,1.0,6,235.3471661426524,32.68710640870172,45.73,"{""B1_asphalt_fatigue"": 14.282673520086924, ""B3_ac_permanent_deformation"": 3.6090576715392295, ""B4_subgrade_strain"": 6.252816073940175}",False,0.0,0.0,16.650137424468994,ok,0,Section 5,Wet-NoFreeze,12,FL,-83.05,28.099999999999998,71.8
48_0001,flexible,699.912510936133,2.0,5.7,8.0,30.1,25.2,15.7,32.71092033178224,45.75,1.0,1.0,48_0001,Texas,Wet-NoFreeze,GPS-1,Stiff,699.912510936133,True,flexible,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,133000.0,,0.02,0,20,-17.452324780355738,-0.872616239017787,1.0,1.0,21,1.0,45.75,32.71092033178224,235.51862638883216,,1.0,6,235.51862638883216,32.71092033178224,45.75,"{""B1_asphalt_fatigue"": 10.88142166612986, ""B3_ac_permanent_deformation"": 1.9773314562017663, ""B4_subgrade_strain"": 6.591542945306703}",False,0.0,0.0,16.73286509513855,ok,0,Section 6,Wet-NoFreeze,48,TX,-100.0,30.92,71.0
30_7076,semi_rigid,58.87114577967474,2.1,6.8,7.9,36.8,17.8,16.8,52.94299508852404,65.98,1.0,1.0,30_7076,Montana,Dry-Freeze,GPS-2,Medium,58.87114577967474,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,94000.0,,0.02,0,20,-1.8663675954402592,-0.0933183797720129,1.0,1.0,21,1.0,80.39,67.3513209440519,484.92951079717375,,1.0,2,381.1895646373731,52.94299508852404,65.98,"{""B1_asphalt_fatigue"": 525.6731890270253, ""B2_semi_rigid_fatigue"": 104.16122367452209, ""B3_ac_permanent_deformation"": 11.446006874895431, ""B4_subgrade_strain"": 5.9468143785634995}",False,0.0,0.0,40.86098861694336,ok,1,Section 7,Dry-Freeze,30,MT,-110.5,47.0,71.39999999999999
04_1065,semi_rigid,91.2929362090608,2.0,6.8,7.9,36.8,17.8,16.7,52.76335400670958,65.8,1.0,1.0,04_1065,Arizona,Dry-NoFreeze,GPS-2,Medium,91.2929362090608,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,583000.0,,0.02,0,20,0.6439866814873376,0.0321993340743668,1.0,1.0,21,1.0,80.42,67.38281296034513,485.15625331448496,,1.0,2,379.89614884830894,52.76335400670958,65.8,"{""B1_asphalt_fatigue"": 86.6447952551405, ""B2_semi_rigid_fatigue"": 19.572527212828014, ""B3_ac_permanent_deformation"": 4.850133625224148, ""B4_subgrade_strain"": 4.79539057364531}",False,0.0,0.0,33.13845634460449,ok,1,Section 8,Dry-NoFreeze,04,AZ,-111.05,34.05,71.3
48_1109,semi_rigid,99.98750156230471,2.0,6.9,7.9,36.8,17.8,16.8,52.9382051790498,65.98,1.0,1.0,48_1109,Texas,Wet-NoFreeze,GPS-2,Medium,99.98750156230471,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,81000.0,,0.02,0,20,-1.810269472857728,-0.0905134736428864,1.0,1.0,21,1.0,80.34,67.30169092302245,484.5721746457616,,1.0,2,381.1550772891586,52.9382051790498,65.98,"{""B1_asphalt_fatigue"": 525.2932439927317, ""B2_semi_rigid_fatigue"": 119.43140249469988, ""B3_ac_permanent_deformation"": 6.455770536244389, ""B4_subgrade_strain"": 7.270831724721774}",False,0.0,0.0,33.26567983627319,ok,1,Section 9,Wet-NoFreeze,48,TX,-98.45,31.05,71.39999999999999
06_2004,semi_rigid,112.4859392575928,2.0,6.9,7.9,36.8,17.8,16.8,52.92342422980597,65.96,1.0,1.0,06_2004,California,Dry-NoFreeze,GPS-2,Stiff,112.4859392575928,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,120000.0,,0.02,0,20,-1.7805417795376393,-0.0890270889768819,1.0,1.0,21,1.0,80.26,67.21764749624785,483.9670619729845,,1.0,2,381.048654454603,52.92342422980597,65.96,"{""B1_asphalt_fatigue"": 354.33990525461627, ""B2_semi_rigid_fatigue"": 83.79614172607448, ""B3_ac_permanent_deformation"": 5.3751732355096555, ""B4_subgrade_strain"": 7.104915188310219}",False,0.0,0.0,33.27107000350952,ok,1,Section 10,Dry-NoFreeze,06,CA,-119.5,37.1,71.39999999999999
27_2023,semi_rigid,131.2335958005249,2.0,6.9,7.9,36.8,17.8,16.8,52.78448401289264,65.83,1.0,1.0,27_2023,Minnesota,Wet-Freeze,GPS-2,Stiff,131.2335958005249,False,semi_rigid,TRF_ESAL_COMPUTED:first_available_KESAL_YEAR,574000.0,,0.02,0,20,0.585302312798099,0.0292651156399049,1.0,1.0,21,1.0,80.59,67.54694604549742,486.33801152758144,,1.0,2,380.04828489282704,52.78448401289264,65.83,"{""B1_asphalt_fatigue"": 88.05861750840262, ""B2_semi_rigid_fatigue"": 22.300009911108532, ""B3_ac_permanent_deformation"": 4.962255596084354, ""B4_subgrade_strain"": 5.798347238143425}",False,0.0,0.0,33.74420380592346,ok,1,Section 11,Wet-Freeze,27,MN,-94.0,46.38,71.39999999999999
12_4097,semi_rigid,286.3278453829635,2.0,6.9,7.9,36.8,17.8,16.8,52.8947259193604,65.94,1.0,1.0,12_4097,Florida,Wet-NoFreeze,GPS-2,Stiff,286.3278453829635,False,semi_rigid,aashto1993_summary:KESAL_fallback_no_extracted_TRF_ESAL,200000.0,,0.02,0,20,-1.2932719014807017,-0.064663595074035,1.0,1.0,21,1.0,80.1,67.05583974868368,482.80204619052256,,1.0,2,380.8420266193949,52.8947259193604,65.94,"{""B1_asphalt_fatigue"": 174.14629474530483, ""B2_semi_rigid_fatigue"": 56.540397009536015, ""B3_ac_permanent_deformation"": 4.181206746317973, ""B4_subgrade_strain"": 10.158724767315197}",False,0.0,0.0,33.24518442153931,ok,1,Section 12,Wet-NoFreeze,12,FL,-81.95,28.4,71.39999999999999
