section,type,method,DSR,pass_JTG,B1,B2,B3,B4
16_1010,Flexible,iLLM-PD,1.0,True,,,,
16_1010,Flexible,As-built,1.0,True,4.56,0.0,1.11,1.89
16_1010,Flexible,AASHTO 1993,0.8066,False,1.07,0.0,1.69,0.97
04_1034,Flexible,iLLM-PD,1.0,True,,,,
04_1034,Flexible,As-built,1.0,True,2.31,0.0,1.0,1.72
04_1034,Flexible,AASHTO 1993,0.8429,False,1.14,0.0,1.69,1.04
27_1085,Flexible,iLLM-PD,1.0,True,,,,
27_1085,Flexible,As-built,0.7448,False,0.98,0.0,1.19,1.2
27_1085,Flexible,AASHTO 1993,0.8298,False,1.12,0.0,1.69,1.02
12_1060,Flexible,iLLM-PD,1.0,True,,,,
12_1060,Flexible,As-built,1.0,True,12.91,0.0,0.71,3.98
12_1060,Flexible,AASHTO 1993,1.0,True,1.75,0.0,1.68,1.47
48_1076,Flexible,iLLM-PD,1.0,True,,,,
48_1076,Flexible,As-built,1.0,True,5.55,0.0,0.84,2.6
48_1076,Flexible,AASHTO 1993,0.898,False,1.25,0.0,1.69,1.15
48_0001,Flexible,iLLM-PD,1.0,True,,,,
48_0001,Flexible,As-built,1.0,True,147.27,0.0,0.51,5.61
48_0001,Flexible,AASHTO 1993,1.0,True,2.24,0.0,1.67,1.42
30_7076,Semi-rigid,iLLM-PD,1.0,True,,,,
30_7076,Semi-rigid,As-built,1.0,True,1243.37,5.93,0.56,10.23
30_7076,Semi-rigid,AASHTO 1993,1.0,True,2.29,18.54,2.48,1.0
04_1065,Semi-rigid,iLLM-PD,1.0,True,,,,
04_1065,Semi-rigid,As-built,1.0,True,15.45,5.38,1.79,3.01
04_1065,Semi-rigid,AASHTO 1993,1.0,True,2.67,27.05,2.48,1.18
06_2004,Semi-rigid,iLLM-PD,1.0,True,,,,
06_2004,Semi-rigid,As-built,1.0,True,77.77,5.28,1.09,5.98
06_2004,Semi-rigid,AASHTO 1993,1.0,True,2.87,32.35,2.48,1.29
27_2023,Semi-rigid,iLLM-PD,1.0,True,,,,
27_2023,Semi-rigid,As-built,1.0,True,0.23,1036.49,3.54,1.23
27_2023,Semi-rigid,AASHTO 1993,1.0,True,3.03,36.83,2.48,1.38
12_4097,Semi-rigid,iLLM-PD,1.0,True,,,,
12_4097,Semi-rigid,As-built,1.0,True,21.64,17.46,1.71,3.36
12_4097,Semi-rigid,AASHTO 1993,1.0,True,3.93,69.24,2.47,1.94
48_1109,Semi-rigid,iLLM-PD,1.0,True,,,,
48_1109,Semi-rigid,As-built,1.0,True,3.44,13.02,1.82,1.33
48_1109,Semi-rigid,AASHTO 1993,1.0,True,2.76,29.24,2.48,1.23
