variant,pavement_type,seed,episode,n_steps,first_compliant_step,post_compliance_violations,guard_blocks,fea_calls,fea_to_first_compliant,final_feasible,reward_mean
full,flexible,0,0,20,1,11,9,11,1,False,0.21993013838181058
full,flexible,0,1,20,1,19,10,10,1,False,-0.03066801942957703
full,flexible,0,2,20,1,18,9,11,1,False,-0.055997014840390436
full,flexible,0,3,20,1,17,3,17,1,False,-0.019198191556349522
full,flexible,0,4,20,6,14,8,12,6,False,0.0773007078784863
full,flexible,0,5,20,1,16,7,13,1,False,0.12102111892782626
full,flexible,0,6,20,1,18,7,13,1,False,0.04786491455717323
full,flexible,0,7,20,15,1,7,13,11,False,0.09441567589894187
full,flexible,0,8,20,1,18,3,17,1,False,-0.021051517496445397
full,flexible,0,9,20,1,18,6,14,1,False,0.04190900647461711
full,flexible,0,10,20,1,1,4,16,1,True,0.6514132725141513
full,flexible,0,11,20,1,7,2,18,1,False,0.47859096220785313
full,flexible,0,12,20,1,18,5,15,1,False,-0.03268294697852049
full,flexible,0,13,20,1,2,5,15,1,False,0.56899280742547
full,flexible,0,14,20,1,6,8,12,1,True,0.3865289820595984
full,flexible,0,15,20,16,0,4,16,12,True,0.16162449991528496
full,flexible,0,16,20,1,19,8,12,1,False,-0.07942118144184952
full,flexible,0,17,20,20,0,3,17,17,True,0.03563702487595205
full,flexible,0,18,20,2,7,3,17,2,False,0.3923384020482456
full,flexible,0,19,20,1,11,6,14,1,False,0.3453278068463813
full,flexible,0,20,20,1,11,4,16,1,False,0.2326529254518214
full,flexible,0,21,20,1,13,7,13,1,False,0.19837550724841185
full,flexible,0,22,20,1,3,2,18,1,False,0.6731226464051794
full,flexible,0,23,20,1,6,4,16,1,True,0.5678174901953028
full,flexible,0,24,20,1,14,6,14,1,False,0.27353725023618425
full,flexible,0,25,20,3,4,7,13,3,True,0.4170850911960797
full,flexible,0,26,20,1,14,4,16,1,True,0.2242504565529364
full,flexible,0,27,20,1,7,0,20,1,True,0.5121803136145044
full,flexible,0,28,20,1,19,4,16,1,False,-0.017514344798396454
full,flexible,0,29,20,1,14,7,13,1,False,0.21301370969887948
full,flexible,0,30,20,1,12,7,13,1,False,0.11176808047393805
full,flexible,0,31,20,1,13,8,12,1,True,0.23972263344455014
full,flexible,0,32,20,1,16,4,16,1,False,-0.04059197574766486
full,flexible,0,33,20,1,17,9,11,1,False,0.10239644005157236
full,flexible,0,34,20,1,17,6,14,1,False,0.1260402571977404
full,flexible,0,35,20,1,1,1,19,1,True,0.7538452363162659
full,flexible,0,36,20,1,12,7,13,1,False,0.2376420521304679
full,flexible,0,37,20,1,15,6,14,1,False,0.07692437315114807
full,flexible,0,38,20,2,15,0,20,2,False,0.06675207178037337
full,flexible,0,39,20,1,2,2,18,1,True,0.6577158038445554
full,flexible,0,40,20,1,6,6,14,1,True,0.566510843127636
full,flexible,0,41,20,1,18,7,13,1,False,0.14481679854603174
full,flexible,0,42,20,1,13,0,20,1,True,0.21861142870006076
full,flexible,0,43,20,1,12,9,11,1,False,0.1992315290911295
full,flexible,0,44,20,1,18,9,11,1,False,0.08903321324075693
full,flexible,0,45,20,1,3,1,19,1,True,0.7049332484628253
full,flexible,0,46,20,1,11,3,17,1,False,0.26888498243209435
full,flexible,0,47,20,1,19,7,13,1,False,-0.06541186403787662
full,flexible,0,48,20,1,11,2,18,1,False,0.2417207255160109
full,flexible,0,49,20,3,6,2,18,3,False,0.4044844353504051
